source,repo_or_stage_path,spatial_resolution,time_resolution,group_resolution,independent_boundary_or_source_history,node_partition_supplied,dynamic_opacity_constitutive_law,energy_weighted_heating_history,load_bearing_interpretation
B2C2A_R1 canonical_direct_photon_ledger,data/input_canonical_direct_photon_ledger.csv,GLOBAL,ONE_INTERVAL_AVERAGE,"G1,G2a,G2b,G3",False,False,False,False,Exact global interval photon bookkeeping; not a sink/node forcing history.
B2C2A_R1 gamma_conditioned_group_fit_tables,data/input_gamma_conditioned_group_fit_tables.csv,GLOBAL_EFFECTIVE,Z_MIDPOINT_X_GAMMA_GRID,"G1,G2a",False,False,PARTIAL_GLOBAL_KAPPA_OF_GAMMA_ONLY,False,Global effective opacity table conditional on Gamma; Gamma(t) and a node map are not supplied.
B2C2A_R1 cell_deposition_refinement,data/input_cell_deposition_refinement.csv,GLOBAL_COMPONENT_AUDITOR,INTERVAL_MIDPOINT_STRESS_SEQUENCE,MULTIGROUP,False,False,False,False,"Finite-cell deposition convergence auditor, not a time-resolved boundary condition."
B2C2B0A hierarchical_full_ots_source,data/input_hierarchical_full_ots_source.csv,GLOBAL_CLOSURE_LANE,Z_MIDPOINT,SPECIES_STOICHIOMETRIC_NOT_BOUNDARY_GROUP_FLUX,False,False,False,False,Species maintenance/source rates; not incident or absorbed group flux versus time.
B2C2B0A r1_opacity_targets,data/input_r1_opacity_targets.csv,GLOBAL_COMPONENT_TARGET,Z_MIDPOINT,MULTIGROUP,False,False,False,False,Locked midpoint opacity moments; no path from evolving node neutral state to opacity.
B2C2B0A macro_species_photon_allocation,data/input_macro_species_photon_allocation.csv,18_MACRO_PRIOR,Z_MIDPOINT,MULTIGROUP_X_SPECIES,False,False,False,False,"Prior macro allocation at a midpoint, not a unique time-dependent node allocation."
R2A global_moment_lock,../R2A/data/global_moment_lock.csv,GLOBAL_SINK,TWO_LOCKED_SUBSTEP_ENDPOINTS_PER_INTERVAL,"G1,G2a,G2b,G3",False,False,False,False,Hard global sink moments; no interior forcing path.
R2A macro_projection,../R2A/data/macro_projection.csv,18_MACROS_X_3_SHAPE_PRIORS,TWO_LOCKED_SUBSTEP_ENDPOINTS_PER_INTERVAL,"G1,G2a",False,False,False,False,"Three feasible prior-dependent macro endpoint distributions, not one canonical trajectory."
R2B node_group_lift,external logical node_group_lift.csv.gz,46080_NODES_PER_SHAPE_CASE,TWO_LOCKED_SUBSTEP_ENDPOINTS_PER_INTERVAL,"G1,G2a",False,ENDPOINT_PROJECTION_ONLY,False,False,"J is KL-projected and kappa is then defined as J/Phi; this is an endpoint algebraic lift, not kappa[N_HI,T,...]."
Primary E^-2.5 spectrum and atomic group moments,"src/rei_bianchi/{absorption_decomposition,b2b_physical_model}.py",SOURCE_SPECTRAL_PRIOR,STATIC_WITHIN_GROUP_PRIOR,"G1,G2a,G2b,G3",False,False,ATOMIC_SPECTRAL_AUDITOR_ONLY,CANDIDATE_GROUP_MOMENTS_ONLY,Supplies candidate thin/thick excess-energy moments; evolving absorbed spectrum still depends on optical depth and incident flux.
